type,layer,length,x1,y1,x2,y2
LINE,S-RBAR,420.0,65201.1923966516,24630.39394706387,65201.1923966516,25050.39394708472
LINE,S-RBAR,420.0,65193.1923966516,24630.39394706387,65193.1923966516,25050.39394708472
LINE,S-RBAR,8.0,65201.1923966516,24630.39394706387,65193.1923966516,24630.39394706387
LINE,S-RBAR,420.0,65005.69628383644,24630.39394706387,65005.69628383644,25050.39394708472
LINE,S-RBAR,420.0,64997.69628383644,24630.39394706387,64997.69628383644,25050.39394708472
LINE,S-RBAR,8.0,65005.69628383644,24630.39394706387,64997.69628383644,24630.39394706387
LINE,S-RBAR,420.0,64810.20017102129,24630.39394706387,64810.20017102129,25050.39394708472
LINE,S-RBAR,420.0,64802.2001710213,24630.39394706387,64802.2001710213,25050.39394708472
LINE,S-RBAR,8.0,64810.20017102129,24630.39394706387,64802.2001710213,24630.39394706387
LINE,S-RBAR,420.0,64614.70405820615,24630.39394706387,64614.70405820615,25050.39394708472
LINE,S-RBAR,420.0,64606.70405820615,24630.39394706387,64606.70405820615,25050.39394708472
LINE,S-RBAR,8.0,64614.70405820615,24630.39394706387,64606.70405820615,24630.39394706387
LINE,S-RBAR,420.0,64419.20794539099,24630.39394706387,64419.20794539099,25050.39394708472
LINE,S-RBAR,420.0,64411.20794539099,24630.39394706387,64411.20794539099,25050.39394708472
LINE,S-RBAR,8.0,64419.20794539099,24630.39394706387,64411.20794539099,24630.39394706387
LINE,S-RBAR,420.0,64223.71183257584,24630.39394706387,64223.71183257584,25050.39394708472
LINE,S-RBAR,420.0,64215.71183257584,24630.39394706387,64215.71183257584,25050.39394708472
LINE,S-RBAR,8.0,64223.71183257584,24630.39394706387,64215.71183257584,24630.39394706387
LINE,S-RBAR,420.0,64028.21571976069,24630.39394706387,64028.21571976069,25050.39394708472
LINE,S-RBAR,420.0,64020.21571976069,24630.39394706387,64020.21571976069,25050.39394708472
LINE,S-RBAR,8.0,64028.21571976069,24630.39394706387,64020.21571976069,24630.39394706387
LINE,S-RBAR,420.0,63832.71960694555,24630.39394706387,63832.71960694555,25050.39394708472
LINE,S-RBAR,420.0,63824.71960694555,24630.39394706387,63824.71960694555,25050.39394708472
LINE,S-RBAR,8.0,63832.71960694555,24630.39394706387,63824.71960694555,24630.39394706387
LINE,S-RBAR,420.0,63637.22349413039,24630.39394706387,63637.22349413039,25050.39394708472
LINE,S-RBAR,420.0,63629.22349413039,24630.39394706387,63629.22349413039,25050.39394708472
LINE,S-RBAR,8.0,63637.22349413039,24630.39394706387,63629.22349413039,24630.39394706387
LINE,S-RBAR,420.0,63441.72738131524,24630.39394706387,63441.72738131524,25050.39394708472
LINE,S-RBAR,420.0,63433.72738131525,24630.39394706387,63433.72738131525,25050.39394708472
LINE,S-RBAR,8.0,63441.72738131524,24630.39394706387,63433.72738131525,24630.39394706387
LINE,S-RBAR,420.0,63246.23126850009,24630.39394706387,63246.23126850009,25050.3939470847
LINE,S-RBAR,420.0,63238.23126850009,24630.39394706387,63238.23126850009,25050.3939470847
LINE,S-RBAR,8.0,63246.23126850009,24630.39394706387,63238.23126850009,24630.39394706387
LINE,S-RBAR,419.59,68802.63692693424,25204.39394708472,68383.0425855795,25204.39394708471
LINE,S-RBAR,419.59,68802.63692693424,25196.39394708472,68383.0425855795,25196.39394708471
LINE,S-RBAR,8.0,68802.63692693424,25204.39394708472,68802.63692693424,25196.39394708472
LINE,S-RBAR,419.59,68802.63692693424,25398.83839152916,68383.0425855795,25398.83839152915
LINE,S-RBAR,419.59,68802.63692693424,25390.83839152916,68383.0425855795,25390.83839152916
LINE,S-RBAR,8.0,68802.63692693424,25398.83839152916,68802.63692693424,25390.83839152916
LINE,S-RBAR,419.59,68802.63692693424,25593.2828359736,68383.0425855795,25593.28283597359
